ImageNumber,ObjectNumber,Metadata_C,Metadata_ChannelName,Metadata_ChannelName,Metadata_ColorFormat,Metadata_FileLocation,Metadata_Frame,Metadata_Plate,Metadata_Series,Metadata_Site,Metadata_SizeC,Metadata_SizeT,Metadata_SizeX,Metadata_SizeY,Metadata_SizeZ,Metadata_T,Metadata_Well,Metadata_Z,FileName_Draq5,FileName_NBDglucose,PathName_Draq5,PathName_NBDglucose,AreaShape_Area,AreaShape_BoundingBoxArea,AreaShape_BoundingBoxMaximum_X,AreaShape_BoundingBoxMaximum_Y,AreaShape_BoundingBoxMinimum_X,AreaShape_BoundingBoxMinimum_Y,AreaShape_Center_X,AreaShape_Center_Y,AreaShape_Compactness,AreaShape_ConvexArea,AreaShape_Eccentricity,AreaShape_EquivalentDiameter,AreaShape_EulerNumber,AreaShape_Extent,AreaShape_FormFactor,AreaShape_MajorAxisLength,AreaShape_MaxFeretDiameter,AreaShape_MaximumRadius,AreaShape_MeanRadius,AreaShape_MedianRadius,AreaShape_MinFeretDiameter,AreaShape_MinorAxisLength,AreaShape_Orientation,AreaShape_Perimeter,AreaShape_Solidity,Intensity_IntegratedIntensityEdge_Draq5,Intensity_IntegratedIntensityEdge_NBDglucose,Intensity_IntegratedIntensity_Draq5,Intensity_IntegratedIntensity_NBDglucose,Intensity_LowerQuartileIntensity_Draq5,Intensity_LowerQuartileIntensity_NBDglucose,Intensity_MADIntensity_Draq5,Intensity_MADIntensity_NBDglucose,Intensity_MassDisplacement_Draq5,Intensity_MassDisplacement_NBDglucose,Intensity_MaxIntensityEdge_Draq5,Intensity_MaxIntensityEdge_NBDglucose,Intensity_MaxIntensity_Draq5,Intensity_MaxIntensity_NBDglucose,Intensity_MeanIntensityEdge_Draq5,Intensity_MeanIntensityEdge_NBDglucose,Intensity_MeanIntensity_Draq5,Intensity_MeanIntensity_NBDglucose,Intensity_MedianIntensity_Draq5,Intensity_MedianIntensity_NBDglucose,Intensity_MinIntensityEdge_Draq5,Intensity_MinIntensityEdge_NBDglucose,Intensity_MinIntensity_Draq5,Intensity_MinIntensity_NBDglucose,Intensity_StdIntensityEdge_Draq5,Intensity_StdIntensityEdge_NBDglucose,Intensity_StdIntensity_Draq5,Intensity_StdIntensity_NBDglucose,Intensity_UpperQuartileIntensity_Draq5,Intensity_UpperQuartileIntensity_NBDglucose,Location_CenterMassIntensity_X_Draq5,Location_CenterMassIntensity_X_NBDglucose,Location_CenterMassIntensity_Y_Draq5,Location_CenterMassIntensity_Y_NBDglucose,Location_CenterMassIntensity_Z_Draq5,Location_CenterMassIntensity_Z_NBDglucose,Location_Center_X,Location_Center_Y,Location_Center_Z,Location_MaxIntensity_X_Draq5,Location_MaxIntensity_X_NBDglucose,Location_MaxIntensity_Y_Draq5,Location_MaxIntensity_Y_NBDglucose,Location_MaxIntensity_Z_Draq5,Location_MaxIntensity_Z_NBDglucose,Number_Object_Number
1,1,nan,nan,nan,nan,nan,0,nan,0,nan,1,1,nan,nan,1,nan,nan,nan,Trial10_B_2-0002.tif,Trial10_B_2-0001.tif,/Users/Maddie/Downloads/Day_3 N1 231 NBD/R_Day3_N1_231_nbd/R_day3_N1_231_nbd_fip,/Users/Maddie/Downloads/Day_3 N1 231 NBD/R_Day3_N1_231_nbd/R_day3_N1_231_nbd_fip,601,816,48,17,0,0,20.064891846921796,6.440931780366056,1.9014266327134903,639,0.9359684549454788,27.66255531193445,1,0.7365196078431373,0.5259208968651705,48.25600647168049,48.507731342539614,8.06225774829855,3.5511807213573596,3.0,16.0,16.990161497835995,-84.99532297466432,119.83452377915607,0.9405320813771518,0.2329137148335576,0.3623407413251698,2.9346456700004637,3.8739147731103003,0.004226749297231436,0.0061799040995538235,0.0006027312483638525,7.629487663507462e-05,0.3822106390353789,0.07261782402810149,0.005966277793049812,0.012069886550307274,0.008484016172587872,0.012069886550307274,0.004159173479170671,0.006470370380806604,0.004882937886856013,0.006445781652429784,0.004798962501809001,0.006240940187126398,0.003082322422415018,0.005981536582112312,0.003082322422415018,0.005935759749263525,0.000607060818388312,0.0008475871469535263,0.000892996851168457,0.0007071628155372344,0.005462729837745428,0.006317235063761473,19.76564823496747,20.104310354519683,6.203154083143713,6.3799438338083005,0.0,0.0,20.064891846921796,6.440931780366056,0,37.0,45.0,1.0,3.0,0.0,0.0,1
1,2,nan,nan,nan,nan,nan,0,nan,0,nan,1,1,nan,nan,1,nan,nan,nan,Trial10_B_2-0002.tif,Trial10_B_2-0001.tif,/Users/Maddie/Downloads/Day_3 N1 231 NBD/R_Day3_N1_231_nbd/R_day3_N1_231_nbd_fip,/Users/Maddie/Downloads/Day_3 N1 231 NBD/R_Day3_N1_231_nbd/R_day3_N1_231_nbd_fip,3409,5200,324,40,194,0,255.7078322088589,14.88559694925198,2.610015034662249,3679,0.9420722315373402,65.88227081698209,1,0.6555769230769231,0.38313955541233347,119.61309595978825,129.0968628588627,19.235384061671343,7.27594340776119,6.708203932499369,39.0,40.11943608797818,-88.5975690370567,334.37972567696687,0.9266104919815167,0.7450980509165674,1.1472495822235942,18.021774973953143,23.91677768714726,0.004394598305225372,0.0061951628886163235,0.00080872792750597,0.00010681338608264923,1.515104219434608,0.34706627309711746,0.0061951628886163235,0.01121538132429123,0.010147249326109886,0.01873807981610298,0.004162558943667975,0.006409215543148571,0.005286528299780916,0.007015775208902101,0.005157549399882555,0.006271458230912685,0.002990768291056156,0.005981536582112312,0.0026703288313001394,0.005966277793049812,0.0005767560923892844,0.0006725379715182107,0.0012062665239969672,0.0016846221255532939,0.0060120546258986,0.007019150070846081,254.46983847023668,255.78405318944414,14.012148439675851,14.547003741936555,0.0,0.0,255.7078322088589,14.88559694925198,0,225.0,250.0,12.0,6.0,0.0,0.0,2
1,3,nan,nan,nan,nan,nan,0,nan,0,nan,1,1,nan,nan,1,nan,nan,nan,Trial10_B_2-0002.tif,Trial10_B_2-0001.tif,/Users/Maddie/Downloads/Day_3 N1 231 NBD/R_Day3_N1_231_nbd/R_day3_N1_231_nbd_fip,/Users/Maddie/Downloads/Day_3 N1 231 NBD/R_Day3_N1_231_nbd/R_day3_N1_231_nbd_fip,6511,8906,538,73,416,0,473.36676393795113,29.148671479035478,1.8269644075059772,6928,0.7954530689374614,91.04978130545204,1,0.7310801706714575,0.5473560381863807,120.28008422563211,123.22743201089601,33.13608305156178,12.641792551354538,11.180339887498949,72.0,72.89155855242788,-84.65006857920066,386.62846301849606,0.9398094688221709,0.9555352253373712,1.5682612615637481,41.301061240490526,46.52208819705993,0.005065995268523693,0.006210422143340111,0.0010757611598819494,0.00018310826271772385,3.927800116365951,1.5746150037086826,0.005737392231822014,0.012451361864805222,0.013962005265057087,0.027771420776844025,0.004101009550804168,0.0067307350281705924,0.006343274649130782,0.007145152541400696,0.006019684253260493,0.006317235063761473,0.002868696115911007,0.0059967958368361,0.002777141984552145,0.005935759749263525,0.0005487556254990724,0.0009926228438452737,0.0018282181723519662,0.0015798543452742986,0.0072785536758601665,0.007629510946571827,476.84026943234136,471.8693818401233,27.314993935254865,28.66157881535716,0.0,0.0,473.36676393795113,29.148671479035478,0,497.0,455.0,2.0,40.0,0.0,0.0,3
1,4,nan,nan,nan,nan,nan,0,nan,0,nan,1,1,nan,nan,1,nan,nan,nan,Trial10_B_2-0002.tif,Trial10_B_2-0001.tif,/Users/Maddie/Downloads/Day_3 N1 231 NBD/R_Day3_N1_231_nbd/R_day3_N1_231_nbd_fip,/Users/Maddie/Downloads/Day_3 N1 231 NBD/R_Day3_N1_231_nbd/R_day3_N1_231_nbd_fip,1555,2664,628,36,554,0,592.2829581993569,12.665594855305466,5.555645647797644,2188,0.8709715376996179,44.495926690689096,1,0.5837087087087087,0.17999708105869164,69.95271396008354,73.00684899377592,12.36931687685298,4.304813065158279,3.605551275463989,35.0,34.370109812275956,-88.03519447715495,329.4863273947651,0.7106946983546618,0.9768063053488731,1.610711860936135,6.854505356866866,11.743679116014391,0.0038452735170722008,0.006225680932402611,0.0005111773498356342,0.0004425114020705223,0.6485977167160234,0.8428041408970639,0.005447471048682928,0.014541847631335258,0.008300907909870148,0.019775692373514175,0.004121545592189338,0.006796252577789599,0.004408042030139464,0.007552205219301859,0.004333562217652798,0.0065918974578380585,0.002944991225376725,0.006042572669684887,0.002471961546689272,0.0059967958368361,0.0005165202579114108,0.0012316026477750845,0.0007833080791931369,0.0019463852940170498,0.004867628216743469,0.008262760238721967,592.8660381623306,592.8742551450466,12.381523112768722,12.065022843027771,0.0,0.0,592.2829581993569,12.665594855305466,0,599.0,611.0,4.0,7.0,0.0,0.0,4
1,5,nan,nan,nan,nan,nan,0,nan,0,nan,1,1,nan,nan,1,nan,nan,nan,Trial10_B_2-0002.tif,Trial10_B_2-0001.tif,/Users/Maddie/Downloads/Day_3 N1 231 NBD/R_Day3_N1_231_nbd/R_day3_N1_231_nbd_fip,/Users/Maddie/Downloads/Day_3 N1 231 NBD/R_Day3_N1_231_nbd/R_day3_N1_231_nbd_fip,1151,2067,864,39,811,0,836.3987836663771,13.766290182450044,3.9911969825574287,1514,0.6204888643886525,38.28183271462029,1,0.5568456700532172,0.2505514020907163,47.98660246794008,54.45181356024793,14.0,4.34150714323115,3.605551275463989,38.0,37.63182578261112,-62.63231716396775,240.26702730475878,0.7602377807133421,0.7134050636086613,1.14911118010059,5.66334030800499,7.580666950903833,0.004028381779789925,0.0061799040995538235,0.00079346913844347,7.629487663507462e-05,1.3438670474321934,0.14352869404291158,0.005493247881531715,0.010742351412773132,0.009185931645333767,0.012970169074833393,0.0041000291011992025,0.006604087241957414,0.004920365167684614,0.006586157211906024,0.00474555604159832,0.006240940187126398,0.0028381780721247196,0.006073090713471174,0.002563515678048134,0.005981536582112312,0.000526216823644331,0.0008387469578807581,0.0011625368066312722,0.0008828677373654461,0.0057068741880357265,0.006363012362271547,836.8773936022388,836.5406915071873,12.51053894495572,13.78779949973947,0.0,0.0,836.3987836663771,13.766290182450044,0,835.0,857.0,2.0,0.0,0.0,0.0,5
1,6,nan,nan,nan,nan,nan,0,nan,0,nan,1,1,nan,nan,1,nan,nan,nan,Trial10_B_2-0002.tif,Trial10_B_2-0001.tif,/Users/Maddie/Downloads/Day_3 N1 231 NBD/R_Day3_N1_231_nbd/R_day3_N1_231_nbd_fip,/Users/Maddie/Downloads/Day_3 N1 231 NBD/R_Day3_N1_231_nbd/R_day3_N1_231_nbd_fip,3777,7276,959,68,852,0,896.7762774688906,23.25152237225311,3.5026704210327746,4409,0.8580218479424432,69.3471395261889,1,0.5191039032435404,0.28549645835794807,103.24398506569065,114.54256850621083,23.53720459187964,8.116583088463255,7.0710678118654755,60.462321388549974,53.027472468799665,-66.94782833472006,407.73506473629425,0.8566568382853255,1.1596856864634901,1.8756695198826492,18.29762757453136,25.817899257410318,0.004058899823576212,0.0061951628886163235,0.0007171737961471081,0.00010681338608264923,2.708938807618887,0.3605676005996805,0.006073090713471174,0.0117799649015069,0.009323262609541416,0.016174564138054848,0.004141734594512465,0.006698819713866604,0.004844487046473752,0.006835557124016499,0.004654001910239458,0.006271458230912685,0.0030060273129493,0.0059967958368361,0.0024567025247961283,0.005935759749263525,0.0005220492654360717,0.0010070896390055476,0.0010748495670184302,0.0012279350417218403,0.00553902518004179,0.006958113983273506,898.8582261383029,897.038917204336,21.518363637065857,23.004481153086406,0.0,0.0,896.7762774688906,23.25152237225311,0,921.0,887.0,10.0,17.0,0.0,0.0,6
1,7,nan,nan,nan,nan,nan,0,nan,0,nan,1,1,nan,nan,1,nan,nan,nan,Trial10_B_2-0002.tif,Trial10_B_2-0001.tif,/Users/Maddie/Downloads/Day_3 N1 231 NBD/R_Day3_N1_231_nbd/R_day3_N1_231_nbd_fip,/Users/Maddie/Downloads/Day_3 N1 231 NBD/R_Day3_N1_231_nbd/R_day3_N1_231_nbd_fip,984,2376,161,68,107,24,138.15142276422765,47.45528455284553,8.390679066615242,1697,0.8233296710184519,35.39587139793849,1,0.41414141414141414,0.1191798651885985,56.95633413657524,60.60528029800704,8.54400374531753,2.935036019749043,2.23606797749979,37.549211695707704,32.32633265115745,-76.90419961523918,322.1076477383248,0.5798467884502062,1.2162661384791136,2.084519754163921,4.018143038032576,7.060669988393784,0.0036316472105681896,0.006210422143340111,0.0004272526130080223,0.00018310826271772385,0.06247077100675362,0.5545320653828822,0.005645838100463152,0.015442130155861378,0.007217517588287592,0.020187685266137123,0.0041090072245916,0.007042296466770003,0.004083478697187577,0.007175477630481488,0.004043641034513712,0.006317235063761473,0.0029755092691630125,0.006057831924408674,0.0025787746999412775,0.005966277793049812,0.0005007124295157088,0.0014202907833580883,0.0006268619133907274,0.0016729406897487583,0.004486152436584234,0.007629510946571827,138.09017994685072,137.62191256199102,47.44295919078532,47.61998050684907,0.0,0.0,138.15142276422765,47.45528455284553,0,116.0,127.0,62.0,47.0,0.0,0.0,7
1,8,nan,nan,nan,nan,nan,0,nan,0,nan,1,1,nan,nan,1,nan,nan,nan,Trial10_B_2-0002.tif,Trial10_B_2-0001.tif,/Users/Maddie/Downloads/Day_3 N1 231 NBD/R_Day3_N1_231_nbd/R_day3_N1_231_nbd_fip,/Users/Maddie/Downloads/Day_3 N1 231 NBD/R_Day3_N1_231_nbd/R_day3_N1_231_nbd_fip,6503,9114,374,98,281,0,326.933415346763,50.501614639397204,2.3276865562017828,7098,0.5567802671913589,90.99382813912581,1,0.7135176651305684,0.4296111077909718,100.40338858466544,109.62207806824317,40.311288741492746,13.467571077516505,11.40175425099138,83.43860018001261,83.40106053827333,-41.0570337424143,436.13813101037414,0.9161735700197239,1.500770604936406,2.5011673546396196,34.446647487115115,43.551751733757555,0.004364080261439085,0.0061951628886163235,0.0008697640150785446,9.155413135886192e-05,1.4710193107861524,0.9040464572840098,0.006622415501624346,0.01258869282901287,0.010345617309212685,0.019348440691828728,0.004122996167407709,0.0068713388863725815,0.00529703944135247,0.0066971784920432965,0.005157549399882555,0.006256198976188898,0.0028534370940178633,0.0060120546258986,0.002594033721834421,0.005966277793049812,0.0006134668378790087,0.0012321524001088183,0.0012201664436216908,0.0010630879042217915,0.006134126801043749,0.0065918974578380585,326.41473628486125,327.550760207863,51.87815735339139,49.84117136446648,0.0,0.0,326.933415346763,50.501614639397204,0,313.0,363.0,47.0,21.0,0.0,0.0,8
1,9,nan,nan,nan,nan,nan,0,nan,0,nan,1,1,nan,nan,1,nan,nan,nan,Trial10_B_2-0002.tif,Trial10_B_2-0001.tif,/Users/Maddie/Downloads/Day_3 N1 231 NBD/R_Day3_N1_231_nbd/R_day3_N1_231_nbd_fip,/Users/Maddie/Downloads/Day_3 N1 231 NBD/R_Day3_N1_231_nbd/R_day3_N1_231_nbd_fip,603,1184,639,116,602,84,620.318407960199,101.65505804311775,1.8425399665177449,726,0.6161463917541316,27.70854462932514,1,0.5092905405405406,0.5427290686616264,32.517786147251655,36.124783736376884,11.0,4.051228217347249,3.605551275463989,24.413341351708826,25.612037719483325,-64.32425536365896,118.16042558696057,0.8305785123966942,0.4304722771048546,0.6582131795585155,2.7314565302804112,3.909803995396942,0.004028381779789925,0.0061799040995538235,0.0004882887005805969,7.629487663507462e-05,0.2560092327686644,0.06308084469469205,0.0061799040995538235,0.010849164798855782,0.006652933545410633,0.010849164798855782,0.004348204819240955,0.006648617975338541,0.004529778657181445,0.006483920390376354,0.004470893647521734,0.006240940187126398,0.0030518043786287308,0.0060120546258986,0.00254825665615499,0.0060120546258986,0.0006547616125672665,0.0010000156060390242,0.0007179823014551762,0.0007106167950659154,0.005020218435674906,0.00633249431848526,620.5492441593187,620.3385604243366,101.76576204683379,101.71483321485802,0.0,0.0,620.318407960199,101.65505804311775,0,633.0,605.0,102.0,108.0,0.0,0.0,9
1,10,nan,nan,nan,nan,nan,0,nan,0,nan,1,1,nan,nan,1,nan,nan,nan,Trial10_B_2-0002.tif,Trial10_B_2-0001.tif,/Users/Maddie/Downloads/Day_3 N1 231 NBD/R_Day3_N1_231_nbd/R_day3_N1_231_nbd_fip,/Users/Maddie/Downloads/Day_3 N1 231 NBD/R_Day3_N1_231_nbd/R_day3_N1_231_nbd_fip,6822,10764,167,172,75,55,123.2921430665494,112.95089416593375,3.018087283281376,7812,0.7736819503204369,93.19892796692073,1,0.6337792642140468,0.33133567923614293,117.9131529417731,125.39936203984452,34.655446902326915,12.869498465807558,11.180339887498949,78.6162831650632,74.70672901747002,-26.704690279992313,508.6589462905455,0.8732718894009217,1.8655070133972913,3.0069429078139365,34.49601045716554,44.3846044302918,0.004348821472376585,0.0061799040995538235,0.0006561381742358208,7.629487663507462e-05,0.0789866857716447,0.45089725097729344,0.006729228887706995,0.014312963001430035,0.009277485311031342,0.014908064156770706,0.004164078154904668,0.006711926133513251,0.005056583180469883,0.006506098567911434,0.004959182348102331,0.006240940187126398,0.002914473181590438,0.0059967958368361,0.002609292743727565,0.005905241705477238,0.0005331224088393017,0.0011278836403009066,0.0009754809163386019,0.0008017038136170222,0.005676356144249439,0.00633249431848526,123.35722008704838,123.36417595703077,112.99565886108701,112.50578789364837,0.0,0.0,123.2921430665494,112.95089416593375,0,117.0,126.0,144.0,59.0,0.0,0.0,10
